alpha_vector_count,analysis_discounted_tail_bound,analysis_horizon,analysis_total_belief_nodes,beta,beta_index,discounted_transmission_occupancy,epsilon,epsilon_index,gamma,gamma_index,index,margin,margin_region,mdp_seed,normal_minus_restricted_lower,normal_minus_restricted_upper,normal_minus_restricted_value,normal_policy_horizon,normal_policy_interval_width,normal_policy_lower_bound,normal_policy_total_belief_nodes,normal_policy_upper_bound,normal_policy_value,point_id,restricted_lower_bound_status,restricted_policy_horizon,restricted_policy_interval_width,restricted_policy_lower_bound,restricted_policy_total_belief_nodes,restricted_policy_upper_bound,reused_solver_checkpoint,root_gap,sampled_belief_count,sarsop_gap,sarsop_lower_bound,sarsop_upper_bound,solver_elapsed_seconds,solver_iterations,solver_stop_reason,status,unrestricted_upper_minus_restricted_lower,violation_count,violation_discounted_event_occupancy,violation_first_depth_max,violation_first_depth_min
7,9.67774912024056e-09,197,12077,0.1,2,2.551678561941658,0.01,0,0.9,0,20,0.01089999999999998,m>0,1111,,,,95,0.0004903033885046426,4.857980065406112,31441,4.858470368794617,4.858225217100364,g0_b02_e00,not_applicable_no_violations,,,,,,False,0.011101704844576806,4731721,0.01103543800946305,4.858240394181445,4.869275832190908,246.06443095207214,483,precision,ok,,0,0.0,,
7,9.67774912024056e-09,197,12204,0.1,2,2.5564880362272806,0.020000000000000004,1,0.9,0,21,-0.0764000000000001,m<0,1111,,,,95,0.000490303388506419,4.841398140958289,31770,4.841888444346796,4.841643292652543,g0_b02_e01,not_applicable_no_violations,,,,,,False,0.010858111402703862,5590474,0.010849078348378782,4.841657586422006,4.8525066647703845,279.5537660121918,602,precision,ok,,0,0.0,,
7,9.67774912024056e-09,197,13342,0.1,2,2.5613469759086125,0.030000000000000006,2,0.9,0,22,-0.16190000000000013,m<0,1111,,,,95,0.0004903033885037544,4.8247600563015745,34282,4.825250359690078,4.825005207995826,g0_b02_e02,not_applicable_no_violations,,,,,,False,0.010961216034335308,7773928,0.010906211697904844,4.825018614731843,4.835924826429748,378.931352853775,718,precision,ok,,0,0.0,,
8,9.67774912024056e-09,197,13835,0.1,2,2.5662561104936685,0.04000000000000001,3,0.9,0,23,-0.24560000000000012,m<0,1111,,,,95,0.0004903033885055308,4.808064945489083,35374,4.808555248877589,4.808310097183336,g0_b02_e03,not_applicable_no_violations,,,,,,False,0.0465151072247711,4887037,0.04651510722477248,4.808322613096163,4.854837720320935,213990.29760098457,326,max_time,ok,,0,0.0,,
7,9.67774912024056e-09,197,14310,0.1,2,2.571216184562579,0.05000000000000001,4,0.9,0,24,-0.32750000000000024,m<0,1111,,,,95,0.000490303388506419,4.791311925684619,36376,4.7918022290731255,4.791557077378872,g0_b02_e04,not_applicable_no_violations,,,,,,False,0.04906747208333013,4695601,0.04653104804425556,4.7915686986092565,4.838099746653512,213990.6625020504,303,max_time,ok,,0,0.0,,
8,9.67774912024056e-09,197,15103,0.1,2,2.5762279581603367,0.06000000000000001,5,0.9,0,25,-0.4076000000000002,m<0,1111,,,,95,0.0004903033885028663,4.774500096726289,38034,4.774990400114792,4.77474524842054,g0_b02_e05,not_applicable_no_violations,,,,,,False,0.07253535487942879,4605301,0.07189981496784004,4.774755971038105,4.846655786005945,213989.94597101212,263,max_time,ok,,0,0.0,,
8,9.67774912024056e-09,197,15259,0.1,2,2.581292207201856,0.07,6,0.9,0,26,-0.4859000000000002,m<0,1111,,,,95,0.0004903033885099717,4.757628540676493,38350,4.758118844065003,4.757873692370748,g0_b02_e06,not_applicable_no_violations,,,,,,False,0.08000918197597863,4610719,0.08000918197597873,4.7578835123723255,4.837892694348304,213988.97974300385,231,max_time,ok,,0,0.0,,
8,9.67774912024056e-09,197,8301,0.1,2,3.1032622915458115,0.08,7,0.9,0,27,-0.5624000000000002,m<0,1111,0.15378577806165694,0.1547663848387124,0.1542760814501838,95,0.0004903033885046426,4.743780430910917,22679,4.7442707342994215,4.744025582605168,g0_b02_e07,ok,95.0,0.0004903033885508279,4.589504349460709,12864.0,4.58999465284926,False,0.04408744960479814,7834429,0.044087449604798934,4.74403587590734,4.788123325512139,500.21650195121765,583,max_time,ok,0.19861897605142964,42,1.1649982662883416,19.0,0.0
7,9.67774912024056e-09,197,8123,0.1,2,3.115217763868097,0.09000000000000001,8,0.9,0,28,-0.6371000000000003,m<0,1111,0.15940379206324629,0.16038439884029287,0.1598940954517687,95,0.0004903033885037544,4.7324067903364835,22230,4.732897093724987,4.732651942030735,g0_b02_e08,ok,95.0,0.0004903033885428343,4.572512694884694,12850.0,4.573002998273237,False,0.05482957909337196,6730060,0.05482957909337127,4.732661667531046,4.787491246624417,500.26656007766724,507,max_time,ok,0.2149785517397227,41,1.1529637936926491,18.0,0.0
7,9.67774912024056e-09,197,8479,0.1,2,3.127274336170059,0.1,9,0.9,0,29,-0.7100000000000004,m<0,1111,0.1649029218915148,0.16588352866856937,0.16539322528004252,95,0.0004903033885055308,4.720846113851112,23134,4.721336417239618,4.721091265545366,g0_b02_e09,ok,95.0,0.0004903033885490515,4.555452888571049,13316.0,4.555943191959598,False,0.07957549432070325,6576550,0.07921485307078768,4.721100412335151,4.8003152654059384,503.14138197898865,393,max_time,ok,0.24486237683488987,43,1.140965323012955,19.0,0.0
8,9.67774912024056e-09,197,12077,0.15,3,2.551678561941658,0.01,0,0.9,0,30,0.06089999999999997,m>0,1111,,,,96,0.0004594907443635776,4.730409344419112,31837,4.730868835163475,4.730639089791293,g0_b03_e00,not_applicable_no_violations,,,,,,False,0.011106301476383843,5586862,0.011102911581645003,4.7306564659554695,4.7417593775371145,200.94595789909363,732,precision,ok,,0,0.0,,
8,9.67774912024056e-09,197,12204,0.15,3,2.5564880362272806,0.020000000000000004,1,0.9,0,31,-0.026400000000000118,m<0,1111,,,,96,0.0004594907443635776,4.7135868697397,32172,4.714046360484064,4.713816615111883,g0_b03_e01,not_applicable_no_violations,,,,,,False,0.011105372059916106,6833002,0.010400073013741462,4.713833184481468,4.724233257495209,357.1713869571686,991,precision,ok,,0,0.0,,
8,9.67774912024056e-09,197,13342,0.15,3,2.5613469759086125,0.030000000000000006,2,0.9,0,32,-0.11190000000000014,m<0,1111,,,,96,0.0004594907443635776,4.696705761350198,34726,4.697165252094561,4.6969355067223795,g0_b03_e02,not_applicable_no_violations,,,,,,False,0.01106950918058717,7726069,0.011067644416973721,4.696951265806955,4.708018910223929,443.5262110233307,1126,precision,ok,,0,0.0,,
8,9.67774912024056e-09,197,13835,0.15,3,2.5662561104936685,0.04000000000000001,3,0.9,0,33,-0.19560000000000013,m<0,1111,,,,96,0.000459490744365354,4.679765116823951,35836,4.6802246075683165,4.679994862196134,g0_b03_e03,not_applicable_no_violations,,,,,,False,0.024053298925093988,7548178,0.023471080370227604,4.68000980744173,4.703480887811957,500.4940969944,1042,max_time,ok,,0,0.0,,
7,9.67774912024056e-09,197,14310,0.15,3,2.571216184562579,0.05000000000000001,4,0.9,0,34,-0.2775000000000002,m<0,1111,,,,96,0.0004594907443644658,4.662764016091286,36856,4.66322350683565,4.662993761463468,g0_b03_e04,not_applicable_no_violations,,,,,,False,0.06600565772753894,6773404,0.06600565772753875,4.663007889251081,4.72901354697862,500.17278385162354,561,max_time,ok,,0,0.0,,
7,9.67774912024056e-09,197,15103,0.15,3,2.5762279581603367,0.06000000000000001,5,0.9,0,35,-0.35760000000000014,m<0,1111,,,,96,0.00045949074436624215,4.645701520983481,38544,4.646161011727847,4.645931266355664,g0_b03_e05,not_applicable_no_violations,,,,,,False,0.07420141520783494,6676783,0.07419756510604536,4.645944572999751,4.720142138105796,503.5764009952545,583,max_time,ok,,0,0.0,,
8,9.67774912024056e-09,197,15259,0.15,3,2.581292207201856,0.07,6,0.9,0,36,-0.4359000000000002,m<0,1111,,,,96,0.0004594907443680185,4.6285766747625186,38866,4.629036165506887,4.628806420134702,g0_b03_e06,not_applicable_no_violations,,,,,,False,0.09878588569034008,6556684,0.09875993433052521,4.628818901881593,4.7275788362121185,500.66715002059937,518,max_time,ok,,0,0.0,,
8,9.67774912024056e-09,197,16019,0.15,3,2.586409723889917,0.08,7,0.9,0,37,-0.5124000000000002,m<0,1111,,,,96,0.00045949074436624215,4.611388501635985,40386,4.611847992380351,4.611618247008168,g0_b03_e07,not_applicable_no_violations,,,,,,False,0.10408084172692492,6604543,0.10401776543160679,4.611629900034471,4.7156476654660775,500.4677610397339,476,max_time,ok,,0,0.0,,
8,9.67774912024056e-09,197,16789,0.15,3,2.5915813171463804,0.09000000000000001,8,0.9,0,38,-0.5871000000000003,m<0,1111,,,,96,0.0004594907443644658,4.594136006256645,41936,4.594595497001009,4.5943657516288265,g0_b03_e08,not_applicable_no_violations,,,,,,False,0.1177481873782761,6648790,0.11773041422688557,4.5943765720397565,4.712106986266642,504.83311891555786,439,max_time,ok,,0,0.0,,
8,9.67774912024056e-09,197,17828,0.15,3,2.596807813057212,0.1,9,0.9,0,39,-0.6600000000000004,m<0,1111,,,,96,0.0004594907443635776,4.576818173206046,43905,4.57727766395041,4.577047918578228,g0_b03_e09,not_applicable_no_violations,,,,,,False,0.1509018804650639,6473608,0.15084212676915687,4.577057902405897,4.7279000291750535,502.36208605766296,415,max_time,ok,,0,0.0,,
4,9.90526314525898e-09,2292,171046,0.0,0,54.65166323904971,0.01,0,0.99,1,40,-0.9800999999999992,m<0,1111,5.955578229836135,5.956573157329089,5.956075693582605,1215,0.0004974637464556508,51.386127107573955,540981,51.38662457132041,51.38637583944718,g1_b00_e00,ok,1215.0,0.0004974637464982834,45.43005141399132,374939.0,45.43054887773782,False,12.737684987354681,7450654,12.737602804945858,38.94345373123977,51.68105653618563,515.4295928478241,19,max_time,ok,6.251005122194307,64,32.44689656641457,23.0,0.0
5,9.90526314525898e-09,2292,339734,0.0,0,37.004901335271406,0.020000000000000004,1,0.99,1,41,-1.9403999999999988,m<0,1111,,,,1215,0.0004974639740567,51.148901892096404,1067673,51.14939935607046,51.14915062408343,g1_b00_e01,not_applicable_no_violations,,,,,,False,11.90270134611689,8279608,11.902701346116913,39.77416012919471,51.676861475311625,544.5595829486847,21,max_time,ok,,0,0.0,,
5,9.90526314525898e-09,2292,353187,0.0,0,37.00172472756641,0.030000000000000006,2,0.99,1,42,-2.880899999999998,m<0,1111,,,,1215,0.000497463991614211,50.880130638898216,1109550,50.88062810288983,50.880379370894026,g1_b00_e02,not_applicable_no_violations,,,,,,False,12.350828705489777,8282317,12.350827515865262,39.32490877595619,51.67573629182145,512.7358441352844,21,max_time,ok,,0,0.0,,
4,9.90526314525898e-09,2292,172889,0.0,0,30.41986564820342,0.04000000000000001,3,0.99,1,43,-3.8015999999999974,m<0,1111,,,,1215,0.000497463747706206,50.91259437396218,545435,50.913091837709885,50.91284310583603,g1_b00_e03,not_applicable_no_violations,,,,,,False,11.478988754820204,7866937,11.476709443785921,40.18848437938536,51.66519382317128,541.1797349452972,20,max_time,ok,,0,0.0,,
