mdp_seed,epsilon,sarsop_gap,solver_stop_reason,solver_elapsed_seconds,target_precision,acceptance_threshold
978475358,0.05,0.05752302219542926,max_time,601.1487231254578,0.01,0.5
978475358,0.06,0.07954578766188591,max_time,601.563903093338,0.01,0.5
978475358,0.07,0.07296398565988849,max_time,606.6923530101776,0.01,0.5
978475358,0.08,0.06456262472039231,max_time,601.8513679504395,0.01,0.5
978475358,0.09,0.06810723491306714,max_time,600.7982709407806,0.01,0.5
978475358,0.1,0.08182053533738864,max_time,605.2837500572205,0.01,0.5
1823514311,0.01,0.011072491682758479,precision,58.06112003326416,0.01,0.5
1823514311,0.02,0.010568269940816055,precision,116.44142317771912,0.01,0.5
1823514311,0.03,0.010316643600677633,precision,367.82785391807556,0.01,0.5
1823514311,0.04,0.011024213727429455,precision,396.8286111354828,0.01,0.5
1823514311,0.05,0.026233043400910816,max_time,606.5998899936676,0.01,0.5
1823514311,0.06,0.03537937192357621,max_time,600.5753719806671,0.01,0.5
1823514311,0.07,0.027003984556215777,max_time,601.4789719581604,0.01,0.5
1823514311,0.08,0.021992390087103963,max_time,600.218731880188,0.01,0.5
1823514311,0.09,0.03675192794570359,max_time,605.2562880516052,0.01,0.5
1823514311,0.1,0.03682819361178158,max_time,600.5951170921326,0.01,0.5
934734539,0.01,0.020383631050894024,precision,47.92665195465088,0.01,0.5
934734539,0.02,0.008488372020702961,precision,49.66015386581421,0.01,0.5
934734539,0.03,0.010691293728878115,precision,43.454827070236206,0.01,0.5
934734539,0.04,0.01085275769565719,precision,55.51173400878906,0.01,0.5
934734539,0.05,0.009731624634549796,precision,172.02489495277405,0.01,0.5
934734539,0.06,0.009121106747171481,precision,350.8233451843262,0.01,0.5
934734539,0.07,0.01007908600926477,precision,144.53253602981567,0.01,0.5
934734539,0.08,0.010400065488144428,precision,152.77152514457703,0.01,0.5
934734539,0.09,0.0111033228507873,precision,165.820415019989,0.01,0.5
934734539,0.1,0.010646522045084872,precision,264.10188603401184,0.01,0.5
1177509905,0.01,0.013555155876692204,max_time,605.8211150169373,0.01,0.5
1177509905,0.02,0.017390886720425325,max_time,601.1169610023499,0.01,0.5
1177509905,0.03,0.018963747742421155,max_time,600.2026779651642,0.01,0.5
1177509905,0.04,0.026878036303369157,max_time,601.917643070221,0.01,0.5
1177509905,0.05,0.03967974697100907,max_time,603.7261550426483,0.01,0.5
1177509905,0.06,0.04264150466190575,max_time,601.6165308952332,0.01,0.5
1177509905,0.07,0.03244715067863968,max_time,604.397362947464,0.01,0.5
1177509905,0.08,0.026604654169151587,max_time,602.7602400779724,0.01,0.5
1177509905,0.09,0.033969703530874806,max_time,600.9987099170685,0.01,0.5
1177509905,0.1,0.026466146344333197,max_time,600.6119480133057,0.01,0.5
