mdp_seed,epsilon,delta_w,delta_w_lower,delta_w_upper,unrestricted_policy_value,restricted_policy_value,violation_count
861037876,0.03,0.0,0.0,0.0,3.273594606093522,3.273594606093522,0
861037876,0.04,0.0,0.0,0.0,3.2702672269497493,3.2702672269497493,0
861037876,0.05,0.0,0.0,0.0,3.266911080614177,3.266911080614177,0
861037876,0.06,0.0,0.0,0.0,3.2635262849672886,3.2635262849672886,0
861037876,0.07,0.0,0.0,0.0,3.260112955809971,3.260112955809971,0
861037876,0.08,0.0,0.0,0.0,3.256671206872543,3.256671206872543,0
861037876,0.09,0.0,0.0,0.0,3.2532011498234135,3.2532011498234135,0
861037876,0.1,0.0,0.0,0.0,3.2497028942773305,3.2497028942773305,0
124974937,0.01,0.0,0.0,0.0,2.2268024897539638,2.2268024897539638,0
124974937,0.02,0.0,0.0,0.0,2.2254138620416875,2.2254138620416875,0
124974937,0.03,0.0,0.0,0.0,2.2240121772678783,2.2240121772678783,0
124974937,0.04,0.0,0.0,0.0,2.2225972504023472,2.2225972504023472,0
124974937,0.05,0.0,0.0,0.0,2.2211688929022495,2.2211688929022495,0
124974937,0.06,0.0,0.0,0.0,2.219726912628347,2.219726912628347,0
124974937,0.07,0.0,0.0,0.0,2.218271113758841,2.218271113758841,0
124974937,0.08,0.0,0.0,0.0,2.216801296700716,2.216801296700716,0
124974937,0.09,0.0,0.0,0.0,2.2153172579985303,2.2153172579985303,0
124974937,0.1,0.0,0.0,0.0,2.2138187902405173,2.2138187902405173,0
826965060,0.01,0.0,0.0,0.0,2.674499265681615,2.674499265681615,0
826965060,0.02,0.0,0.0,0.0,2.6691223998979408,2.6691223998979408,0
826965060,0.03,0.0102024309558022,0.009732369450309086,0.010672492461296645,2.66397941168126,2.653776980725458,9
826965060,0.04,0.012134196077936643,0.011664134572440421,0.012604257583432421,2.6596678424622944,2.6475336463843577,73
826965060,0.05,0.013465849651979944,0.012995788146485499,0.01393591115747439,2.6552728029153103,2.6418069532633304,74
826965060,0.06,0.022652793395599335,0.022182731890103113,0.023122854901095558,2.6510227746755106,2.6283699812799113,76
826965060,0.07,0.024357727609183755,0.023887666103689753,0.02482778911467909,2.6468751697578865,2.6225174421487027,77
826965060,0.08,0.026046738452754514,0.025576676947259624,0.026516799958249404,2.6426246334251453,2.616577894972391,78
826965060,0.09,0.027719399242952747,0.02724933773745919,0.02818946074844586,2.638269965043624,2.610550565800671,78
